program-name,optimization-name,execution-time
benchmark-fold.lisp,Peephole,701578.399821301
benchmark-inline.lisp,CSE and Peephole,719539.3998699728
benchmark-inline.lisp,Common subexpression elimination,728772.2000910435
benchmark-inline.lisp,Constant Propagation and Peephole,868198.7997988472
benchmark-inline.lisp,Constant propagation,725215.4999150662
benchmark-inline.lisp,Constant propagation and CSE,728705.4999324027
benchmark-inline.lisp,Constant propagation and CSE and Peephole,723550.9001475293
benchmark-inline.lisp,Constant propagation and Inlining and CSE,710268.1000105804
benchmark-inline.lisp,Constant propagation and Inlining and CSE and Peephole,736064.8000030778
benchmark-inline.lisp,Constant propagation and Inlining and Peephole,721865.6999611994
benchmark-inline.lisp,Constant propagation and inlining,727181.6000866238
benchmark-inline.lisp,Inlining,751826.2002122356
